GENE	CHR	START	END
AL031731.1	1	11623557	11643416
FBXO2	1	11637017	11655785
FBXO44	1	11654374	11663327
FBXO6	1	11664199	11674354
MAD2L2	1	11674479	11691650
DRAXIN	1	11691709	11725857
AGTRAP	1	11736083	11754802
C1orf167	1	11761786	11789585
AL953897.1	1	11777076	11779619
MTHFR	1	11785722	11806920
CLCN6	1	11806095	11848079
NPPA	1	11845708	11848345
NPPB	1	11857463	11858945
AL021155.5	1	11907939	11914298
KIAA2013	1	11919590	11926428
PLOD1	1	11934204	11975538
AL096840.2	1	11979532	11980127
MFN2	1	11980180	12013514
MIIP	1	12019465	12032045
TNFRSF8	1	12063302	12144207
AL357835.1	1	12088440	12092264
TNFRSF1B	1	12166990	12209228
VPS13D	1	12230029	12512047
LINC02766	1	12527723	12528420
DHRS3	1	12567909	12618210
AC254633.1	1	12618899	12619244
AADACL4	1	12644546	12667086
AADACL3	1	12716109	12728760
C1orf158	1	12746199	12763699
PRAMEF12	1	12774840	12777906
PRAMEF1	1	12791396	12796628
LINC01784	1	12822685	12823159
PRAMEF11	1	12824604	12831410
HNRNPCL1	1	12847407	12848725
PRAMEF2	1	12857085	12861909
PRAMEF4	1	12879211	12886201
PRAMEF10	1	12892895	12898270
PRAMEF7	1	12916609	12920482
PRAMEF6	1	12938471	12947580
PRAMEF27	1	13049475	13056491
HNRNPCL3	1	13060868	13062229
PRAMEF25	1	13068676	13077884
HNRNPCL2	1	13115487	13116854
AC245056.1	1	13146980	13147460
PRAMEF26	1	13148904	13155961
HNRNPCL4	1	13164585	13165467
PRAMEF9	1	13172454	13179464
PRAMEF13	1	13196187	13201409
PRAMEF18	1	13222704	13226106
PRAMEF5	1	13254211	13263314
PRAMEF8	1	13281034	13285174
PRAMEF33	1	13303538	13308907
PRAMEF15	1	13315580	13322598
AC243961.1	1	13324038	13324518
PRAMEF14	1	13341891	13347134
PRAMEF19	1	13369066	13371900
PRAMEF17	1	13389631	13392629
PRAMEF20	1	13410449	13421328
LRRC38	1	13474972	13514003
AL354712.1	1	13513219	13516270
PDPN	1	13583464	13617957
AL359771.1	1	13657310	13659910
PRDM2	1	13700197	13825079
KAZN	1	13892791	15118043
AL357873.1	1	14221886	14304445
KAZN-AS1	1	14338824	14419973
AL031293.1	1	14774468	14777727
TMEM51-AS1	1	15111814	15153618
TMEM51	1	15152531	15220478
C1orf195	1	15164343	15171317
FHAD1	1	15247271	15400283
AL031283.2	1	15326679	15343876
AL031283.3	1	15334165	15335464
AL031283.1	1	15402978	15409433
EFHD2	1	15409887	15430339
CTRC	1	15438441	15449242
CELA2A	1	15456727	15472091
CELA2B	1	15465908	15491395
CASP9	1	15490831	15526534
DNAJC16	1	15526812	15592379
AL121992.3	1	15565610	15565956
AGMAT	1	15571698	15585051
AL121992.1	1	15586135	15603626
DDI2	1	15617457	15669044
RSC1A1	1	15659868	15661722
AL121992.2	1	15682872	15683128
PLEKHM2	1	15684319	15734769
AL450998.3	1	15720311	15736896
SLC25A34	1	15736257	15741392
SLC25A34-AS1	1	15740050	15749896
TMEM82	1	15742498	15747982
FBLIM1	1	15756606	15786594
UQCRHL	1	15807168	15809348
AL450998.2	1	15834473	15848147
SPEN	1	15847706	15940456
ZBTB17	1	15941868	15976132
SRARP	1	16004235	16008807
AL355994.3	1	16006159	16006671
HSPB7	1	16014027	16019594
CLCNKA	1	16018874	16034050
CLCNKB	1	16043735	16057308
FAM131C	1	16057768	16073651
EPHA2	1	16124336	16156069
AL451042.2	1	16155210	16157329
AL451042.1	1	16159265	16161883
ARHGEF19-AS1	1	16197853	16198357
ARHGEF19	1	16197853	16212652
AL109627.1	1	16228673	16231335
CPLANE2	1	16231691	16237183
FBXO42	1	16246839	16352480
SZRD1	1	16352574	16398145
SPATA21	1	16387116	16437424
NECAP2	1	16440720	16460078
LINC01772	1	16460947	16468481
AL137802.2	1	16514644	16515754
AL137802.1	1	16520693	16521796
LINC01783	1	16533885	16536172
NBPF1	1	16562318	16613562
AL137798.1	1	16617390	16617729
AL137798.2	1	16656878	16667524
AL021920.1	1	16701545	16705594
AL021920.3	1	16739937	16750589
CROCC	1	16740272	16972964
BX284668.1	1	16851256	16853129
BX284668.2	1	16870944	16883659
BX284668.5	1	16887576	16889706
BX284668.6	1	16904338	16904776
MFAP2	1	16974501	16980632
AL049569.2	1	16976301	16977792
AL049569.1	1	16978925	17005091
ATP13A2	1	16985957	17011928
SDHB	1	17018721	17054170
PADI2	1	17066760	17119451
LINC02783	1	17189782	17197617
AL590644.1	1	17193231	17201733
PADI1	1	17205127	17246007
PADI3	1	17249097	17284233
PADI4	1	17308194	17364004
PADI6	1	17372195	17401699
RCC2-AS1	1	17406759	17407382
RCC2	1	17406759	17439677
ARHGEF10L	1	17539697	17697874
LINC02810	1	17717624	17749978
ACTL8	1	17755332	17827063
AL357509.1	1	18015711	18045612
LINC01654	1	18065656	18074412
IGSF21	1	18107797	18378483
IGSF21-AS1	1	18166928	18179346
AL591896.1	1	18385828	18388514
KLHDC7A	1	18480981	18486126
PAX7	1	18630845	18748866
TAS1R2	1	18839598	18859682
ALDH4A1	1	18871429	18902724
IFFO2	1	18904279	18956676
AL137127.1	1	19072109	19075511
UBR4	1	19074509	19210266
EMC1-AS1	1	19210500	19240704
EMC1	1	19215659	19251527
MRTO4	1	19251804	19260128
AKR7A3	1	19282572	19288770
AKR7A2	1	19303964	19312146
SLC66A1	1	19312325	19329300
CAPZB	1	19338774	19485539
MICOS10	1	19484402	19629821
AL031727.2	1	19591801	19596832
NBL1	1	19596978	19658456
HTR6	1	19664874	19680966
TMCO4	1	19682212	19799945
RNF186	1	19814028	19815283
AL391883.1	1	19814366	19819502
OTUD3	1	19882394	19912945
PLA2G2E	1	19920008	19923617
PLA2G2A	1	19975430	19980416
PLA2G5	1	20028178	20091911
PLA2G2D	1	20111938	20119566
PLA2G2F	1	20139325	20150386
Z98257.1	1	20154170	20160568
PLA2G2C	1	20161252	20177424
UBXN10-AS1	1	20184241	20186486
UBXN10	1	20186095	20196050
LINC01757	1	20243094	20244664
Z98257.2	1	20272017	20275005
VWA5B1	1	20290918	20354894
AL020998.1	1	20294210	20323187
LINC01141	1	20360578	20431234
AL139254.1	1	20412303	20413253
AL139254.2	1	20476221	20478937
AL139254.3	1	20478778	20480397
CAMK2N1	1	20482390	20486210
MUL1	1	20499447	20508151
FAM43B	1	20552572	20555020
CDA	1	20589085	20618903
PINK1	1	20633457	20651511
PINK1-AS	1	20642656	20652193
DDOST	1	20651766	20661544
KIF17	1	20664013	20718017
SH2D5	1	20719730	20732837
AL663074.1	1	20732879	20733952
HP1BP3	1	20742678	20787323
EIF4G3	1	20806291	21176888
AL031005.2	1	21177053	21178164
ECE1	1	21217246	21345572
AL031005.1	1	21266081	21267251
AL031728.1	1	21293289	21299874
AL592309.2	1	21415897	21417492
NBPF3	1	21440127	21485005
ALPL	1	21509396	21578410
LINC02596	1	21586471	21591187
RAP1GAP	1	21596214	21669363
USP48	1	21678297	21783606
LDLRAD2	1	21812264	21825225
HSPG2	1	21822243	21937310
CELA3B	1	21977021	21998642
CELA3A	1	22001656	22012542
LINC01635	1	22023989	22026048
LINC00339	1	22024557	22031223
CDC42	1	22025510	22101360
CDC42-AS1	1	22028316	22052927
CDC42-IT1	1	22059196	22064199
WNT4	1	22117312	22143969
AL445253.1	1	22142849	22157401
ZBTB40	1	22428837	22531157
ZBTB40-IT1	1	22517473	22519708
EPHA8	1	22563488	22603595
C1QA	1	22636627	22639678
C1QC	1	22643632	22648110
C1QB	1	22652761	22661637
EPHB2	1	22710838	22921500
AL512444.1	1	22835712	22836849
LACTBL1	1	22953042	22965338
TEX46	1	23010833	23015852
KDM1A	1	23019442	23083689
AL031428.1	1	23020146	23088058
LUZP1	1	23084022	23177808
HTR1D	1	23191894	23194729
LINC01355	1	23281306	23287488
AL109936.6	1	23297796	23302866
HNRNPR	1	23303770	23344336
ZNF436	1	23359447	23369836
ZNF436-AS1	1	23368996	23371839
AL109936.2	1	23378379	23379029
TCEA3	1	23380908	23424748
ASAP3	1	23428562	23484568
E2F2	1	23506437	23531233
AL021154.1	1	23549138	23550915
ID3	1	23557925	23559501
AL450043.1	1	23576435	23593621
MDS2	1	23581494	23640568
RPL11	1	23691741	23696835
ELOA-AS1	1	23706900	23778296
ELOA	1	23743154	23762059
PITHD1	1	23778417	23788232
LYPLA2	1	23791144	23795539
GALE	1	23795598	23800781
HMGCL	1	23801884	23838620
FUCA1	1	23845076	23868294
CNR2	1	23870514	23913362
AL590609.3	1	23907110	23907885
PNRC2	1	23956838	23963462
SRSF10	1	23964346	23980927
AL591178.1	1	24040834	24086799
MYOM3	1	24056034	24112135
AL591178.2	1	24066773	24083565
IL22RA1	1	24119770	24143140
IFNLR1	1	24154167	24187959
LINC02800	1	24200239	24211693
AL138902.1	1	24307555	24321901
GRHL3	1	24319321	24364482
STPG1	1	24356998	24416934
NIPAL3	1	24415801	24472976
RCAN3AS	1	24496253	24535400
RCAN3	1	24502350	24541040
NCMAP-DT	1	24538801	24556024
NCMAP	1	24556086	24609328
SRRM1	1	24631715	24673281
AL445648.1	1	24704893	24717596
CLIC4	1	24745381	24844321
RUNX3	1	24899510	24965121
AL445471.1	1	24961344	24963097
AL445471.2	1	24968422	24970865
LINC02793	1	25041135	25047404
AL050344.1	1	25043706	25113120
AL031432.1	1	25208138	25209437
SYF2	1	25222275	25232502
AL031432.4	1	25232585	25234775
AL031432.5	1	25239493	25240253
RSRP1	1	25242248	25338213
AL031432.3	1	25247836	25248321
RHD	1	25272392	25330445
TMEM50A	1	25338316	25362361
RHCE	1	25362248	25430192
MACO1	1	25430857	25500209
LDLRAP1	1	25543579	25568886
AL606491.1	1	25581477	25590356
MAN1C1	1	25617467	25786207
AL031280.1	1	25644543	25659111
SELENON	1	25800175	25818221
AL020996.1	1	25816748	25820797
MTFR1L	1	25818639	25832942
AL020996.3	1	25831912	25832134
AUNIP	1	25831912	25859458
AL033528.2	1	25859612	25863420
PAQR7	1	25861209	25871253
STMN1	1	25884180	25906991
PAFAH2	1	25959766	25998117
EXTL1	1	26019883	26036464
SLC30A2	1	26037251	26046118
AL391650.2	1	26046664	26049099
TRIM63	1	26051303	26068436
PDIK1L	1	26111164	26125555
FAM110D	1	26159078	26163962
C1orf232	1	26164160	26168581
AL391650.1	1	26169515	26171831
ZNF593	1	26169907	26170873
CNKSR1	1	26177483	26189884
CATSPER4	1	26190560	26202968
CEP85	1	26234199	26278808
SH3BGRL3	1	26280085	26281522
UBXN11	1	26281327	26318363
CD52	1	26317957	26320523
CRYBG2	1	26321697	26360080
ZNF683	1	26361633	26374522
LIN28A	1	26410816	26429728
DHDDS	1	26432281	26471306
AL513365.2	1	26462755	26468014
HMGN2	1	26472439	26476642
RPS6KA1	1	26529760	26575030
AL512408.1	1	26692131	26694131
ARID1A	1	26693235	26782104
PIGV	1	26787471	26798398
ZDHHC18	1	26826687	26857604
SFN	1	26863148	26864456
GPN2	1	26876131	26890283
AL034380.1	1	26876132	26878245
GPATCH3	1	26890487	26900467
NUDC	1	26900237	26946871
NR0B2	1	26911488	26913975
KDF1	1	26949561	26960468
TRNP1	1	26993691	27000886
TENT5B	1	27005019	27012850
SLC9A1	1	27098808	27166981
AL590640.1	1	27229105	27234352
WDTC1	1	27234631	27308636
TMEM222	1	27322144	27336400
SYTL1	1	27342019	27353937
MAP3K6	1	27354066	27366961
FCN3	1	27369111	27374824
CD164L2	1	27379175	27383333
GPR3	1	27392621	27395814
WASF2	1	27404229	27490167
FO393419.2	1	27457197	27459582
BX293535.1	1	27525804	27530561
AHDC1	1	27534034	27604431
FGR	1	27612063	27635185
LINC02574	1	27660327	27662722
IFI6	1	27666063	27672198
AL445490.1	1	27669467	27703063
AL020997.5	1	27724821	27725756
FAM76A	1	27725978	27763122
STX12	1	27773218	27824443
AL020997.2	1	27773857	27774041
AL020997.3	1	27819982	27820341
AL020997.4	1	27827811	27831209
PPP1R8	1	27830781	27851676
THEMIS2	1	27872542	27886685
RPA2	1	27891523	27914746
SMPDL3B	1	27934999	27959157
AL512288.1	1	27938874	27960193
XKR8	1	27959461	27968096
EYA3	1	27970343	28088637
PTAFR	1	28147165	28193936
DNAJC8	1	28199455	28233029
ATP5IF1	1	28236108	28246906
AL353622.1	1	28239508	28241453
AL353622.2	1	28247143	28247568
SESN2	1	28259517	28282491
MED18	1	28329001	28335965
PHACTR4	1	28369581	28500364
RCC1	1	28505942	28539300
SNHG3	1	28505979	28510892
TRNAU1AP	1	28553084	28578545
SNHG12	1	28578537	28583132
TAF12	1	28589322	28643085
RAB42	1	28592199	28595443
LINC01715	1	28643227	28648581
AL360012.1	1	28648599	28648730
GMEB1	1	28668731	28719353
YTHDF2	1	28736620	28769775
OPRD1	1	28812141	28871267
AL009181.1	1	28870482	28877336
EPB41	1	28887090	29120046
TMEM200B	1	29119428	29123903
AL357500.1	1	29144493	29146994
SRSF4	1	29147742	29181900
MECR	1	29192656	29230942
AL590729.1	1	29223932	29224816
PTPRU	1	29236515	29326813
LINC01756	1	29329619	29350114
AC092265.1	1	29708850	29709547
AL645944.2	1	29755174	29790597
LINC01648	1	30013951	30037612
AL137076.1	1	30140262	30141607
AL161638.2	1	30409559	30411638
AL161638.1	1	30415824	30421108
MATN1	1	30711276	30723585
MATN1-AS1	1	30718503	30726827
AL137857.1	1	30731692	30733427
LAPTM5	1	30732468	30757774
AL137027.1	1	30810377	30815553
LINC01778	1	30824216	30834864
AL445235.1	1	30858157	30860254
SDC3	1	30869465	30908758
PUM1	1	30931505	31065991
NKAIN1	1	31179744	31239887
SNRNP40	1	31259567	31296788
ZCCHC17	1	31296981	31364953
AL451070.1	1	31333066	31346799
FABP3	1	31365252	31376850
SERINC2	1	31409564	31434680
LINC01226	1	31506225	31583306
AC114488.1	1	31571584	31577898
TINAGL1	1	31576484	31587686
HCRTR1	1	31617685	31632518
PEF1	1	31629865	31644896
AC114488.2	1	31644048	31660162
AC114488.3	1	31644693	31649371
COL16A1	1	31652262	31704319
ADGRB2	1	31727116	31764893
AL354919.2	1	31789129	31791322
SPOCD1	1	31790421	31816051
AL354919.1	1	31842018	31855568
AL136115.2	1	31851912	31921841
PTP4A2	1	31906420	31944856
AL136115.1	1	31933019	31933975
AL136115.3	1	31972188	31987034
KHDRBS1	1	32013867	32060850
AL445248.1	1	32052290	32073474
TMEM39B	1	32072030	32102866
KPNA6	1	32108055	32176563
AL049795.2	1	32170732	32176568
TXLNA	1	32179674	32198285
CCDC28B	1	32200385	32205387
AL049795.1	1	32204768	32206814
IQCC	1	32205660	32208687
DCDC2B	1	32209093	32216196
TMEM234	1	32214471	32222359
EIF3I	1	32221927	32231604
FAM167B	1	32247221	32248856
LCK	1	32251238	32286165
HDAC1	1	32292082	32333635
MARCKSL1	1	32333838	32336233
AL109945.1	1	32349193	32350663
TSSK3	1	32351520	32364312
FAM229A	1	32361269	32364278
BSDC1	1	32365102	32394731
ZBTB8B	1	32465071	32496686
ZBTB8A	1	32539426	32605941
ZBTB8OS	1	32600171	32650903
RBBP4	1	32651141	32686211
SYNC	1	32679905	32703596
AC114489.1	1	32717733	32725237
KIAA1522	1	32741829	32774970
YARS	1	32775236	32818153
S100PBP	1	32816766	32858875
FNDC5	1	32862267	32872482
HPCA	1	32885993	32898441
TMEM54	1	32894593	32901438
AL031602.2	1	32925453	32951638
RNF19B	1	32936444	32964685
AL020995.1	1	32987074	33032469
AK2	1	33007939	33080996
AZIN2	1	33081103	33123492
TRIM62	1	33145398	33182059
AL662907.3	1	33194787	33200353
ZNF362	1	33256491	33300719
AL513327.3	1	33261211	33261680
A3GALT2	1	33306765	33321098
AL513327.1	1	33307347	33349245
PHC2	1	33323622	33431052
AL513327.2	1	33350351	33363245
ZSCAN20	1	33472644	33496507
CSMD2	1	33513998	34165842
HMGB4	1	33860474	33864791
CSMD2-AS1	1	33868952	33893726
C1orf94	1	34166882	34219131
AC099565.1	1	34640156	34685732
SMIM12	1	34712736	34859755
GJB5	1	34755046	34758512
GJB4	1	34759739	34762327
AL121988.1	1	34761425	34788097
GJB3	1	34781213	34786369
GJA4	1	34792998	34795747
AL122010.1	1	34850693	34851555
DLGAP3	1	34865435	34929650
TMEM35B	1	34981534	34985353
ZMYM6	1	34986164	35031945
ZMYM1	1	35032171	35115859
AL590434.1	1	35141514	35146435
SFPQ	1	35176377	35193145
ZMYM4	1	35268708	35422058
ZMYM4-AS1	1	35358821	35366077
KIAA0319L	1	35433491	35557950
NCDN	1	35557472	35567274
AC004865.2	1	35569812	35577729
TFAP2E	1	35573313	35595328
PSMB2	1	35599540	35641526
C1orf216	1	35713876	35718894
CLSPN	1	35720217	35769978
AL354864.1	1	35739388	35743576
AGO4	1	35808015	35857890
AGO1	1	35869807	35930532
AL139286.3	1	35908979	35910872
AL139286.2	1	35929719	35930115
AGO3	1	35930717	36072500
AL138787.2	1	35992108	36013630
TEKT2	1	36084093	36088275
ADPRHL2	1	36088891	36093932
COL8A2	1	36095238	36125222
TRAPPC3	1	36136569	36156053
MAP7D1	1	36155578	36180849
THRAP3	1	36224431	36305357
SH3D21	1	36306367	36329340
EVA1B	1	36322030	36324154
AL591845.1	1	36329629	36335406
STK40	1	36339623	36385896
LSM10	1	36391237	36397908
OSCP1	1	36415826	36450451
MRPS15	1	36455717	36464384
CSF3R	1	36466042	36483278
AL596257.1	1	36703952	36710582
AC117945.2	1	36768121	36769725
AC117945.1	1	36769811	36775768
GRIK3	1	36795526	37034515
AL031430.1	1	37133488	37136146
AL353604.1	1	37154760	37325100
LINC01137	1	37350933	37474411
ZC3H12A	1	37474579	37484377
MEAF6	1	37492574	37514774
SNIP1	1	37534448	37554293
DNALI1	1	37556918	37566857
GNL2	1	37566815	37595937
AL513220.1	1	37596125	37607336
RSPO1	1	37611349	37634892
C1orf109	1	37681569	37692249
CDCA8	1	37692480	37709719
EPHA10	1	37713879	37765133
MANEAL	1	37793801	37801137
AL929472.3	1	37799719	37800879
YRDC	1	37802944	37808208
C1orf122	1	37806978	37809454
MTF1	1	37809573	37859592
AL929472.2	1	37860696	37861580
INPP5B	1	37860696	37947057
SF3A3	1	37956974	37990075
FHL3	1	37996769	38005606
UTP11	1	38009257	38024820
POU3F1	1	38043828	38046793
MIR3659HG	1	38047313	38119025
LINC02786	1	38129463	38140593
AL390839.1	1	38149543	38162545
AL390839.2	1	38193618	38210340
LINC01343	1	38209033	38214806
LINC01685	1	38474824	38516520
AL354702.2	1	38754215	38815979
RRAGC	1	38838197	38859772
AL139260.1	1	38859911	38965038
MYCBP	1	38862492	38873368
GJA9	1	38874068	38881587
RHBDL2	1	38885806	38941830
AKIRIN1	1	38991275	39006059
NDUFS5	1	39026317	39034636
MACF1	1	39081315	39487177
AL356055.1	1	39206511	39206957
